GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Task,ru.task,Parentheses,3,54,0,8,1,11,1,5,1,1
Task,ru.task,Process.User,76,0,0,0,11,0,4,0,4,0
Task,ru.task,Process,27,0,0,0,6,0,4,0,4,0
Task,ru.task,Article,3,31,0,4,1,7,1,3,1,1
Task,ru.task,FreezeStr,3,20,0,2,1,6,1,2,1,1
Task,ru.task,Analize.Info,0,3,0,0,0,1,0,1,0,1
Task,ru.task,RomanToInt,187,0,6,0,34,0,8,0,5,0
Task,ru.task,Analize,3,68,0,6,1,15,1,5,1,2
Task,ru.task,Comparemerge,237,0,4,0,16,0,5,0,3,0
Task,ru.task,Analize.User,0,12,0,0,0,5,0,2,0,2
Task,ru.task,Singlenumber,69,0,6,0,11,0,6,0,3,0
Task,ru.task,WeekSalary,3,53,0,8,1,8,1,5,1,1
Task,ru.task,Palindrome,39,0,0,0,9,0,3,0,3,0
